Sentiment,TweetId,TweetText
positive,1.26E+17,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
positive,1.26E+17,@Apple will be adding more carrier support to the iPhone 4S (just announced)
positive,1.26E+17,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
positive,1.26E+17,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
positive,1.26E+17,I just realized that the reason I got into twitter was ios5 thanks @apple
positive,1.26E+17,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone"
positive,1.26E+17,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
positive,1.26E+17,Great up close & personal event @Apple tonight in Regent St store!
positive,1.26E+17,From which companies do you experience the best customer service aside from @zappos and @apple?
positive,1.26E+17,"Just apply for a job at @Apple, hope they call me lol"
positive,1.26E+17,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
positive,1.26E+17,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
positive,1.26E+17,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
positive,1.26E+17,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
positive,1.26E+17,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
positive,1.26E+17,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
positive,1.25E+17,Love love love iOS 5!! @apple
negative,1.26E+17,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
negative,1.26E+17,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
negative,1.26E+17,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
negative,1.26E+17,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
negative,1.26E+17,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
negative,1.26E+17,@apple needs to hurry up and release #iTunesMatch
negative,1.26E+17,Why is  #Siri always down @apple
negative,1.26E+17,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
negative,1.26E+17,"@apple AirDrop #fail - Immediate ""declined your request."" every time"
negative,1.26E+17,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
negative,1.26E+17,RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
negative,1.26E+17,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
